metric,dataset,value
RMSE,train,1.4057138028110068
RMSE,train,1.4351129282733088
RMSE,train,1.4044152560988492
RMSE,train,1.418586486100475
RMSE,train,1.4173866869221072
RMSE,train,1.440663203842158
RMSE,train,1.4323929920480085
RMSE,train,1.4536049450350554
RMSE,train,1.4484300286637717
RMSE,train,1.4499729857561843
RMSE,test,2.095339748559629
RMSE,test,1.9189320273357082
RMSE,test,2.011069191080381
RMSE,test,2.183060709193219
RMSE,test,1.9109979498712117
RMSE,test,1.9182238781844136
RMSE,test,1.9564570567996713
RMSE,test,1.9862020495481814
RMSE,test,2.012967386670597
RMSE,test,1.84386998194712
R2,train,0.8280104921601825
R2,train,0.8205316948738892
R2,train,0.8300321703925326
R2,train,0.8261416634956642
R2,train,0.8248222055430506
R2,train,0.8188045935602888
R2,train,0.8190609595805958
R2,train,0.8146197252774863
R2,train,0.8136575222782616
R2,train,0.8168394319237282
R2,test,0.6047242904105996
R2,test,0.6730382984583358
R2,test,0.5999757481766257
R2,test,0.537610161087456
R2,test,0.6774262683557719
R2,test,0.670849897694579
R2,test,0.6890717364071202
R2,test,0.6700995226685158
R2,test,0.690137009984923
R2,test,0.6970842105612034
MAE,train,1.0334809130803726
MAE,train,1.0470491906331276
MAE,train,1.030918900245883
MAE,train,1.034434838776987
MAE,train,1.0391598041842665
MAE,train,1.0587927794631673
MAE,train,1.0636838614791373
MAE,train,1.0698042435084087
MAE,train,1.0652003848579006
MAE,train,1.0618250944148762
MAE,test,1.4892531087909993
MAE,test,1.424123552561192
MAE,test,1.5038092206225973
MAE,test,1.6594378789406241
MAE,test,1.4587423655590637
MAE,test,1.3859495980826388
MAE,test,1.4137692472634893
MAE,test,1.4622066162379594
MAE,test,1.5656950792849047
MAE,test,1.4289531117169347
