metric,dataset,value
RMSE,train,1.4147978961793042
RMSE,train,1.4461970204847931
RMSE,train,1.4124292363271636
RMSE,train,1.4298764128544812
RMSE,train,1.4148252629557723
RMSE,train,1.4228595023926844
RMSE,train,1.4202863486483395
RMSE,train,1.441773818653169
RMSE,train,1.4264452596084491
RMSE,train,1.4135177501680367
RMSE,test,1.9068622542933225
RMSE,test,1.8953457022432292
RMSE,test,1.9945096524051293
RMSE,test,1.9923638905720336
RMSE,test,2.0282967651298924
RMSE,test,2.083075577323015
RMSE,test,2.005154636819299
RMSE,test,1.9057718555225582
RMSE,test,2.0234120988716686
RMSE,test,1.9679096645319791
R2,train,0.8257804266035654
R2,train,0.8177487428676978
R2,train,0.8280868694816144
R2,train,0.8233633223230435
R2,train,0.8254547769760673
R2,train,0.8232553434503239
R2,train,0.8221066419903871
R2,train,0.8176251248220322
R2,train,0.8192713327137904
R2,train,0.8259337020807482
R2,test,0.6726367919775111
R2,test,0.6810265235603749
R2,test,0.6065363822375771
R2,test,0.6148641207815928
R2,test,0.6366111880717888
R2,test,0.6118447513833726
R2,test,0.6734006593282174
R2,test,0.6962768394532335
R2,test,0.6869130867080199
R2,test,0.6549582558779594
MAE,train,1.0974296350314006
MAE,train,1.1236310526667832
MAE,train,1.0919383711794726
MAE,train,1.1077922505704874
MAE,train,1.1066419644925347
MAE,train,1.1156279920472898
MAE,train,1.109318041497736
MAE,train,1.1189884494670141
MAE,train,1.1058693662579595
MAE,train,1.1023728668932467
MAE,test,1.4058342090512466
MAE,test,1.4632032043555658
MAE,test,1.5824326358274934
MAE,test,1.5546501695436954
MAE,test,1.4956981103308156
MAE,test,1.491919770369305
MAE,test,1.4542749444709164
MAE,test,1.4595771319844824
MAE,test,1.6150531280364384
MAE,test,1.4835284986841641
Fit_time,train,1.2365057468414307
Fit_time,train,1.1856601238250732
Fit_time,train,1.1715788841247559
Fit_time,train,1.1581716537475586
Fit_time,train,1.1860544681549072
Fit_time,train,1.177516222000122
Fit_time,train,1.173065423965454
Fit_time,train,1.1695806980133057
Fit_time,train,1.1614866256713867
Fit_time,train,1.1660535335540771
Fit_time,test,0.005001068115234375
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999399185180664
Fit_time,test,0.005003929138183594
Fit_time,test,0.004999876022338867
Fit_time,test,0.004506349563598633
Fit_time,test,0.004006624221801758
Fit_time,test,0.004000186920166016
Fit_time,test,0.00500035285949707
Fit_time,test,0.004999637603759766
