metric,dataset,value
RMSE,train,0.8169002589762027
RMSE,train,0.8706795430402056
RMSE,train,0.8490299046465147
RMSE,train,0.8554291040996957
RMSE,train,0.8859677600570487
RMSE,train,0.8310621465220491
RMSE,train,0.8596238556255597
RMSE,train,0.9073986469240213
RMSE,train,0.8700235404195074
RMSE,train,0.8705447053270331
RMSE,test,1.9345951454228674
RMSE,test,1.8318822348694852
RMSE,test,1.6918208999354796
RMSE,test,1.9147849451729524
RMSE,test,1.8469383990512884
RMSE,test,1.860775716492948
RMSE,test,1.8676732281436799
RMSE,test,1.7604929514350838
RMSE,test,1.700087051406733
RMSE,test,1.8208011740747767
R2,train,0.941917359828949
R2,train,0.9339409470558167
R2,train,0.9378814101219177
R2,train,0.9367803931236267
R2,train,0.9315555691719055
R2,train,0.9397038817405701
R2,train,0.9348334074020386
R2,train,0.9277617931365967
R2,train,0.9327675700187683
R2,train,0.9339771270751953
R2,test,0.6630454063415527
R2,test,0.702029824256897
R2,test,0.7168992757797241
R2,test,0.6442731618881226
R2,test,0.6986901164054871
R2,test,0.6902698278427124
R2,test,0.716651201248169
R2,test,0.7408181428909302
R2,test,0.7789764404296875
R2,test,0.7046164274215698
MAE,train,0.6157804131507874
MAE,train,0.6667545437812805
MAE,train,0.6538020968437195
MAE,train,0.6538560390472412
MAE,train,0.6769325733184814
MAE,train,0.6360296607017517
MAE,train,0.6592769026756287
MAE,train,0.6956393122673035
MAE,train,0.6650594472885132
MAE,train,0.6615857481956482
MAE,test,1.3885085582733154
MAE,test,1.3840816020965576
MAE,test,1.2859396934509277
MAE,test,1.3748180866241455
MAE,test,1.3370780944824219
MAE,test,1.265019178390503
MAE,test,1.2386157512664795
MAE,test,1.3225194215774536
MAE,test,1.3358211517333984
MAE,test,1.3796014785766602
Fit_time,train,25.855101823806763
Fit_time,train,24.77486491203308
Fit_time,train,25.370014905929565
Fit_time,train,24.87796664237976
Fit_time,train,24.4611177444458
Fit_time,train,26.019888877868652
Fit_time,train,25.50517988204956
Fit_time,train,24.628711223602295
Fit_time,train,24.42149519920349
Fit_time,train,24.752106428146362
Fit_time,test,0.0070552825927734375
Fit_time,test,0.007000923156738281
Fit_time,test,0.007000446319580078
Fit_time,test,0.006999492645263672
Fit_time,test,0.007999658584594727
Fit_time,test,0.007002830505371094
Fit_time,test,0.0070002079010009766
Fit_time,test,0.008000373840332031
Fit_time,test,0.007998943328857422
Fit_time,test,0.007003068923950195
