metric,dataset,value
RMSE,train,0.8894729524931367
RMSE,train,0.9001382072612396
RMSE,train,0.8942572161452932
RMSE,train,0.9102541825812094
RMSE,train,0.8858650904537607
RMSE,train,0.9293864107233138
RMSE,train,0.8894975452614375
RMSE,train,0.9104415380949153
RMSE,train,0.909568400316479
RMSE,train,0.9011644525970508
RMSE,test,1.9845725133925154
RMSE,test,1.8668582258821431
RMSE,test,1.9203649031066945
RMSE,test,1.960909961035926
RMSE,test,1.8691732788422508
RMSE,test,1.9012016612271387
RMSE,test,1.9336632918365826
RMSE,test,1.8172272170261983
RMSE,test,1.7622973386435217
RMSE,test,2.0044151686095013
R2,train,0.9311389327049255
R2,train,0.9293952584266663
R2,train,0.931087076663971
R2,train,0.9284170866012573
R2,train,0.9315714240074158
R2,train,0.9245924353599548
R2,train,0.9302253723144531
R2,train,0.9272764921188354
R2,train,0.9265168905258179
R2,train,0.9292510151863098
R2,test,0.6454110741615295
R2,test,0.6905429363250732
R2,test,0.635246217250824
R2,test,0.6269285678863525
R2,test,0.69139164686203
R2,test,0.6766656637191772
R2,test,0.69627445936203
R2,test,0.7238439321517944
R2,test,0.7625049352645874
R2,test,0.6420382261276245
MAE,train,0.6785207986831665
MAE,train,0.6893157362937927
MAE,train,0.685617208480835
MAE,train,0.6935776472091675
MAE,train,0.6770636439323425
MAE,train,0.7131927609443665
MAE,train,0.6784535646438599
MAE,train,0.6975935101509094
MAE,train,0.6952716112136841
MAE,train,0.6906598806381226
MAE,test,1.432817816734314
MAE,test,1.4422153234481812
MAE,test,1.4702481031417847
MAE,test,1.4894182682037354
MAE,test,1.3824706077575684
MAE,test,1.3371992111206055
MAE,test,1.3309892416000366
MAE,test,1.3756725788116455
MAE,test,1.342195987701416
MAE,test,1.537879228591919
