metric,dataset,value
RMSE,train,2.2320860863291494
RMSE,train,2.259367185951101
RMSE,train,2.259075909181676
RMSE,train,2.2719979670485735
RMSE,train,2.282486579347377
RMSE,train,2.2442038255743912
RMSE,train,2.2291425958068523
RMSE,train,2.2777979214730903
RMSE,train,2.2045576405885936
RMSE,train,2.2816207149647822
RMSE,test,2.545942200885433
RMSE,test,2.400075902692364
RMSE,test,2.4904617626856598
RMSE,test,2.6539732765212376
RMSE,test,2.401375434181381
RMSE,test,2.5814504733133337
RMSE,test,2.501577626404207
RMSE,test,2.5103733603599645
RMSE,test,2.6469543581038675
RMSE,test,2.613855200441627
R2,train,0.5663593208729484
R2,train,0.5551749443984638
R2,train,0.5602181516603607
R2,train,0.5540360430690012
R2,train,0.545725016895273
R2,train,0.5603097328516635
R2,train,0.5617886629757258
R2,train,0.5448011852352698
R2,train,0.568322172112163
R2,train,0.5464772659561162
R2,test,0.41643625393399897
R2,test,0.48852117929884253
R2,test,0.38653180426735634
R2,test,0.3166082267950615
R2,test,0.4906354889419341
R2,test,0.4038946723786849
R2,test,0.49166790626077983
R2,test,0.4729974365149442
R2,test,0.46421674612663255
R2,test,0.39127046487915207
MAE,train,1.7062337437861301
MAE,train,1.733582720769731
MAE,train,1.730161200595004
MAE,train,1.7456965810842626
MAE,train,1.7601917918493877
MAE,train,1.7088537417565435
MAE,train,1.714589132763355
MAE,train,1.7476849507268337
MAE,train,1.6837161612784748
MAE,train,1.7582802414494838
MAE,test,1.9087041688247282
MAE,test,1.8695767347983447
MAE,test,1.9177552399917492
MAE,test,2.0594420526479063
MAE,test,1.8082354601653305
MAE,test,1.9524199323075448
MAE,test,1.8665755403537936
MAE,test,1.9808897937240584
MAE,test,2.1330340122830904
MAE,test,2.022814589172557
Fit_time,train,0.4208943843841553
Fit_time,train,0.45769429206848145
Fit_time,train,0.4805941581726074
Fit_time,train,0.41927552223205566
Fit_time,train,0.4897775650024414
Fit_time,train,0.4267699718475342
Fit_time,train,0.49411559104919434
Fit_time,train,0.36611485481262207
Fit_time,train,0.3995060920715332
Fit_time,train,0.37766313552856445
Fit_time,test,0.004000186920166016
Fit_time,test,0.003000497817993164
Fit_time,test,0.003846883773803711
Fit_time,test,0.004042148590087891
Fit_time,test,0.0039997100830078125
Fit_time,test,0.0036733150482177734
Fit_time,test,0.003998756408691406
Fit_time,test,0.0030002593994140625
Fit_time,test,0.0029990673065185547
Fit_time,test,0.003998756408691406
