metric,dataset,value
RMSE,train,1.654884740349608
RMSE,train,1.6149463618941668
RMSE,train,1.6312163288766275
RMSE,train,1.639668117381681
RMSE,train,1.5883431356515236
RMSE,train,1.6103696940096826
RMSE,train,1.6632725179925576
RMSE,train,1.6190214074220697
RMSE,train,1.6408286684834696
RMSE,train,1.660840977348893
RMSE,test,2.0383304608749957
RMSE,test,2.01622055273942
RMSE,test,2.04752334219235
RMSE,test,2.211027034165837
RMSE,test,2.0054004588120415
RMSE,test,2.1868498589926597
RMSE,test,2.177106761686382
RMSE,test,2.0591878720963894
RMSE,test,2.056763003780298
RMSE,test,2.0581643810833556
R2,train,0.7616343681055106
R2,train,0.7727353896366268
R2,train,0.770702789148605
R2,train,0.7677285733288298
R2,train,0.7800160395282248
R2,train,0.7736015582830579
R2,train,0.7560309521629754
R2,train,0.7700274925823319
R2,train,0.7608649161901815
R2,train,0.7596919813030889
R2,test,0.6259407377321248
R2,test,0.6390444057674748
R2,test,0.5853420282939072
R2,test,0.5256872918724598
R2,test,0.6447690674373818
R2,test,0.5722073261495155
R2,test,0.6149837895039253
R2,test,0.6454087325642688
R2,test,0.6765071146960072
R2,test,0.6225830165267823
MAE,train,1.2772922840333945
MAE,train,1.237922941163692
MAE,train,1.2456067123587362
MAE,train,1.2553220272194643
MAE,train,1.2174008098257207
MAE,train,1.2316226924049318
MAE,train,1.2918483967548904
MAE,train,1.2385032555791444
MAE,train,1.2546872465255074
MAE,train,1.2685956845598254
MAE,test,1.5350680314626164
MAE,test,1.564823104853555
MAE,test,1.5911683241640715
MAE,test,1.6929469498619782
MAE,test,1.5406081689394944
MAE,test,1.5649419162674256
MAE,test,1.6304089945991795
MAE,test,1.5844321297601316
MAE,test,1.6400008565597592
MAE,test,1.595529668769487
