metric,dataset,value
RMSE,train,2.7423309549482324
RMSE,train,2.7477217687323217
RMSE,train,2.715314250765041
RMSE,train,2.815379385444238
RMSE,train,2.6643033184491167
RMSE,train,2.7086904926039264
RMSE,train,2.718307722225573
RMSE,train,2.7562769432221494
RMSE,train,2.6008778263952483
RMSE,train,2.695993354053399
RMSE,test,3.1301136140038537
RMSE,test,2.7557002723883914
RMSE,test,2.831419316969979
RMSE,test,3.0567727544824765
RMSE,test,2.8057547321267777
RMSE,test,2.8950308550045234
RMSE,test,3.2385320071696686
RMSE,test,2.955467465728392
RMSE,test,2.8887842864474127
RMSE,test,3.004662070164262
R2,train,0.34544241428375244
R2,train,0.3420981168746948
R2,train,0.364645779132843
R2,train,0.31520944833755493
R2,train,0.3810299038887024
R2,train,0.35946768522262573
R2,train,0.34836387634277344
R2,train,0.3334749937057495
R2,train,0.3991629481315613
R2,train,0.3667870759963989
R2,test,0.11791306734085083
R2,test,0.3257178068161011
R2,test,0.20705944299697876
R2,test,0.09342652559280396
R2,test,0.30464279651641846
R2,test,0.2502753734588623
R2,test,0.1480463147163391
R2,test,0.2695534825325012
R2,test,0.36184459924697876
R2,test,0.1956360936164856
MAE,train,2.1871047019958496
MAE,train,2.188333511352539
MAE,train,2.1744577884674072
MAE,train,2.253856658935547
MAE,train,2.1112072467803955
MAE,train,2.1471168994903564
MAE,train,2.1511316299438477
MAE,train,2.192920446395874
MAE,train,2.0578973293304443
MAE,train,2.159411668777466
MAE,test,2.5463345050811768
MAE,test,2.2212443351745605
MAE,test,2.2554421424865723
MAE,test,2.4122073650360107
MAE,test,2.304215669631958
MAE,test,2.340320348739624
MAE,test,2.622231960296631
MAE,test,2.332749605178833
MAE,test,2.3828721046447754
MAE,test,2.391770362854004
Fit_time,train,35.97532653808594
Fit_time,train,33.06123113632202
Fit_time,train,34.2490451335907
Fit_time,train,32.88930606842041
Fit_time,train,34.187949657440186
Fit_time,train,34.34539580345154
Fit_time,train,33.699925661087036
Fit_time,train,34.62816596031189
Fit_time,train,35.469460248947144
Fit_time,train,35.041051387786865
Fit_time,test,0.016585111618041992
Fit_time,test,0.021008014678955078
Fit_time,test,0.01729893684387207
Fit_time,test,0.01850605010986328
Fit_time,test,0.022521495819091797
Fit_time,test,0.022994279861450195
Fit_time,test,0.02100968360900879
Fit_time,test,0.01899886131286621
Fit_time,test,0.01920008659362793
Fit_time,test,0.017875194549560547
