metric,dataset,value
RMSE,train,1.5939308112767836
RMSE,train,1.570659607590255
RMSE,train,1.573662097169395
RMSE,train,1.5733611399732987
RMSE,train,1.5688235923435834
RMSE,train,1.548473855632711
RMSE,train,1.564908052855068
RMSE,train,1.5954675856558078
RMSE,train,1.5656724049814559
RMSE,train,1.5727393879725349
RMSE,test,1.9823365065161467
RMSE,test,2.067674926145579
RMSE,test,1.9947594366662171
RMSE,test,2.0106680537240953
RMSE,test,1.9329449130491487
RMSE,test,2.1746662451294236
RMSE,test,2.0168475412128766
RMSE,test,1.9459988186437416
RMSE,test,1.997972392105484
RMSE,test,1.9026903704379894
R2,train,0.778870305027144
R2,train,0.7850290586725523
R2,train,0.7865979333493153
R2,train,0.7861345045415995
R2,train,0.7853896913729903
R2,train,0.7906707054275062
R2,train,0.784033913563703
R2,train,0.7766701838062661
R2,train,0.7822698256883461
R2,train,0.7845107117430699
R2,test,0.6462096510127864
R2,test,0.6203859965248206
R2,test,0.6064378245062907
R2,test,0.6077550049687925
R2,test,0.669974490243887
R2,test,0.5769607770851253
R2,test,0.6695804754976266
R2,test,0.683319561887
R2,test,0.6947362776389688
R2,test,0.6774496156883111
MAE,train,1.2474209201100517
MAE,train,1.2287178572015085
MAE,train,1.2257679877071042
MAE,train,1.2297928467249561
MAE,train,1.226350220009482
MAE,train,1.2121181102738845
MAE,train,1.2219459898802245
MAE,train,1.2474843883785218
MAE,train,1.2171634568199468
MAE,train,1.2255707561614297
MAE,test,1.4678305489725392
MAE,test,1.5496080479892596
MAE,test,1.6009124970897097
MAE,test,1.5364942947635283
MAE,test,1.4791985284172522
MAE,test,1.522741455450503
MAE,test,1.4948047268137077
MAE,test,1.4902524286444394
MAE,test,1.6037967045187587
MAE,test,1.493815328807115
Fit_time,train,5.205641984939575
Fit_time,train,5.057145595550537
Fit_time,train,4.671457767486572
Fit_time,train,4.487451076507568
Fit_time,train,4.627284288406372
Fit_time,train,4.6856911182403564
Fit_time,train,4.6473259925842285
Fit_time,train,5.269536972045898
Fit_time,train,4.741060495376587
Fit_time,train,4.539012908935547
Fit_time,test,0.009998083114624023
Fit_time,test,0.012000560760498047
Fit_time,test,0.009000062942504883
Fit_time,test,0.009004354476928711
Fit_time,test,0.00899958610534668
Fit_time,test,0.009139776229858398
Fit_time,test,0.009999990463256836
Fit_time,test,0.011043310165405273
Fit_time,test,0.00915384292602539
Fit_time,test,0.008998632431030273
