metric,dataset,value
RMSE,train,1.5374321983587664
RMSE,train,1.5501443393702443
RMSE,train,1.5772009798277853
RMSE,train,1.5353454980192578
RMSE,train,1.5352473325686145
RMSE,train,1.5920651185418735
RMSE,train,1.5436013932041677
RMSE,train,1.5094161782600886
RMSE,train,1.5371165487815566
RMSE,train,1.5604997135956742
RMSE,test,2.182195251225744
RMSE,test,2.0726649930190355
RMSE,test,1.9755386686997976
RMSE,test,2.211195968233752
RMSE,test,1.987393542882369
RMSE,test,1.9858580013937173
RMSE,test,1.9574287314010197
RMSE,test,2.0810056892396545
RMSE,test,2.0649117555005416
RMSE,test,2.143599958990452
R2,train,0.7942688376693791
R2,train,0.7906080963415736
R2,train,0.7856370485009447
R2,train,0.7963445094878985
R2,train,0.7944776493007123
R2,train,0.7787191096986817
R2,train,0.7898747556888894
R2,train,0.8001110719248112
R2,train,0.7901396357148035
R2,train,0.7878517047108946
R2,test,0.571275367815417
R2,test,0.6185514865996956
R2,test,0.6139857246929391
R2,test,0.5256148091437611
R2,test,0.6511198142277976
R2,test,0.6472298815257904
R2,test,0.6887628146040463
R2,test,0.6378548881454232
R2,test,0.6739387243174054
R2,test,0.590599090255311
MAE,train,1.1672020167140336
MAE,train,1.1792089066246754
MAE,train,1.1997998424542842
MAE,train,1.1606382530902442
MAE,train,1.1657874773053394
MAE,train,1.2051419083984727
MAE,train,1.1779547597457305
MAE,train,1.1384146310177805
MAE,train,1.1623413625533148
MAE,train,1.186627490979588
MAE,test,1.5293531001344958
MAE,test,1.5800753215525867
MAE,test,1.5399529574458373
MAE,test,1.6952909606267288
MAE,test,1.480541277939393
MAE,test,1.5041903415050053
MAE,test,1.4675097315636398
MAE,test,1.6071903802149454
MAE,test,1.6246307100860629
MAE,test,1.665008165380856
