metric,dataset,value
RMSE,train,0.7214072087257076
RMSE,train,0.7327008289627346
RMSE,train,0.7334241793407121
RMSE,train,0.7335562482043017
RMSE,train,0.7218747490489151
RMSE,train,0.7343292712212548
RMSE,train,0.737424943955671
RMSE,train,0.747355537912909
RMSE,train,0.741629590009904
RMSE,train,0.7261588949314326
RMSE,test,2.0417310019170514
RMSE,test,2.0556613497479947
RMSE,test,2.1332533386736805
RMSE,test,2.152040447384979
RMSE,test,2.225004233018037
RMSE,test,2.1367147703952534
RMSE,test,2.180970640217764
RMSE,test,2.0179184697526886
RMSE,test,1.9636316088964343
RMSE,test,2.0303544850412267
R2,train,0.9547030364104665
R2,train,0.9532190568288037
R2,train,0.953646119287534
R2,train,0.9535109443181979
R2,train,0.9545612833538266
R2,train,0.9529235250574446
R2,train,0.9520439333234043
R2,train,0.9509967085192047
R2,train,0.9511470353188515
R2,train,0.9540616404221269
R2,test,0.6246916125895611
R2,test,0.6247844375314326
R2,test,0.549891552211285
R2,test,0.5506574821697019
R2,test,0.5627093020479821
R2,test,0.5915973860536499
R2,test,0.6136159411055631
R2,test,0.6594794522513427
R2,test,0.7051397301104996
R2,test,0.6327134188806078
MAE,train,0.49999625251822977
MAE,train,0.49836085058323204
MAE,train,0.5009246260291155
MAE,train,0.5053983305530794
MAE,train,0.5067554218528886
MAE,train,0.5055992824945541
MAE,train,0.5078946909718902
MAE,train,0.5141121843912758
MAE,train,0.5047405243973052
MAE,train,0.49783599780144516
MAE,test,1.4920930475237362
MAE,test,1.5284201449424881
MAE,test,1.6612421934003225
MAE,test,1.5865638067462313
MAE,test,1.5949068795012311
MAE,test,1.451119961208965
MAE,test,1.5348247460296354
MAE,test,1.5589600427292547
MAE,test,1.5200626671781767
MAE,test,1.5612580630717605
Fit_time,train,2.1107540130615234
Fit_time,train,2.0521655082702637
Fit_time,train,2.0132570266723633
Fit_time,train,2.0124990940093994
Fit_time,train,1.9654004573822021
Fit_time,train,1.9975006580352783
Fit_time,train,1.9892656803131104
Fit_time,train,2.0068793296813965
Fit_time,train,1.9918253421783447
Fit_time,train,1.9991393089294434
Fit_time,test,0.005002498626708984
Fit_time,test,0.00500035285949707
Fit_time,test,0.005507946014404297
Fit_time,test,0.004999876022338867
Fit_time,test,0.005002260208129883
Fit_time,test,0.0049991607666015625
Fit_time,test,0.004999876022338867
Fit_time,test,0.006000041961669922
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999399185180664
