metric,dataset,value
RMSE,train,1.3702532599262458
RMSE,train,1.3877811466691687
RMSE,train,1.3675652579216682
RMSE,train,1.3995827949002029
RMSE,train,1.3998392812418599
RMSE,train,1.4039749059383475
RMSE,train,1.4148192299180373
RMSE,train,1.4328649500599575
RMSE,train,1.4040192427592848
RMSE,train,1.391971192986577
RMSE,test,2.1672014763016896
RMSE,test,2.166400194055903
RMSE,test,2.2382733973324815
RMSE,test,2.153944531749622
RMSE,test,2.177592540251232
RMSE,test,2.150035456404249
RMSE,test,2.324002629651563
RMSE,test,2.2378969433736815
RMSE,test,2.0459854219828393
RMSE,test,2.343119298689151
R2,train,0.8365782626505923
R2,train,0.8321746451284254
R2,train,0.83883461489081
R2,train,0.8307685508325484
R2,train,0.8291327979069651
R2,train,0.8279158200674288
R2,train,0.8234735385480989
R2,train,0.8198719877021377
R2,train,0.8249093536291678
R2,train,0.8311999173437522
R2,test,0.5771466267534473
R2,test,0.5832697045907822
R2,test,0.5044829962223897
R2,test,0.5498619910192177
R2,test,0.5811468400490984
R2,test,0.5864893943919035
R2,test,0.5612745863137604
R2,test,0.5811907561621502
R2,test,0.6798884827486268
R2,test,0.5108409134447889
MAE,train,1.0454935910904022
MAE,train,1.0566378850478173
MAE,train,1.045791460447414
MAE,train,1.0719909018542864
MAE,train,1.066913249826927
MAE,train,1.0731426500221835
MAE,train,1.079962424093836
MAE,train,1.1002977704872425
MAE,train,1.0658253840815493
MAE,train,1.06193289667194
MAE,test,1.6157635523167762
MAE,test,1.6788347596068922
MAE,test,1.6709522850495175
MAE,test,1.6411767308876848
MAE,test,1.6368594229607984
MAE,test,1.582233061944398
MAE,test,1.6772105107081483
MAE,test,1.6608027834073544
MAE,test,1.5773613292038473
MAE,test,1.79655797251534
