metric,dataset,value
RMSE,train,1.125685991191961
RMSE,train,1.150978581635873
RMSE,train,1.0980187334578797
RMSE,train,1.1335504826688574
RMSE,train,1.1275279183001548
RMSE,train,1.1326455511801063
RMSE,train,1.1120137548293811
RMSE,train,1.1448187655292739
RMSE,train,1.1129625642750787
RMSE,train,1.1386585866016907
RMSE,test,2.1238622590298153
RMSE,test,1.9232186456147276
RMSE,test,1.968460211857589
RMSE,test,1.9597511210496357
RMSE,test,1.7905014877724683
RMSE,test,1.8832862120362452
RMSE,test,1.9289152751777603
RMSE,test,1.8620109387932946
RMSE,test,1.7591007978734978
RMSE,test,1.6665560047112287
R2,train,0.8897083438415281
R2,train,0.8845616550083614
R2,train,0.8961048794927177
R2,train,0.8889891020234105
R2,train,0.8891445718075751
R2,train,0.8880019909050534
R2,train,0.8909493581644815
R2,train,0.8850141983819072
R2,train,0.8899784043919943
R2,train,0.8870466253172676
R2,test,0.5938897800043255
R2,test,0.6715758960093057
R2,test,0.6167469870186364
R2,test,0.6273694149178777
R2,test,0.7168230313242108
R2,test,0.6827306911784305
R2,test,0.6977642271240936
R2,test,0.710065064473608
R2,test,0.7633657078845146
R2,test,0.7525421993300345
MAE,train,0.788185651487811
MAE,train,0.8030126178882991
MAE,train,0.7719227093233827
MAE,train,0.7885053526388991
MAE,train,0.7901446348737309
MAE,train,0.7938789783554118
MAE,train,0.787366744168727
MAE,train,0.8009800222464252
MAE,train,0.7726378368919402
MAE,train,0.7943001160703239
MAE,test,1.5212024462678826
MAE,test,1.3880688187409456
MAE,test,1.4724856347272675
MAE,test,1.453995479980197
MAE,test,1.3669738050556062
MAE,test,1.3072671678665273
MAE,test,1.3104487499085506
MAE,test,1.3482135037510583
MAE,test,1.3649041571777363
MAE,test,1.2525948483112623
