metric,dataset,value
RMSE,train,1.8240843967794194
RMSE,train,1.8161186595991157
RMSE,train,1.8136793133336593
RMSE,train,1.8370095340963297
RMSE,train,1.817215074679383
RMSE,train,1.827903300907074
RMSE,train,1.846906134363109
RMSE,train,1.8317817877598381
RMSE,train,1.8241116361155942
RMSE,train,1.83648324226721
RMSE,test,2.4214221109983836
RMSE,test,2.428853982886187
RMSE,test,2.49187308356601
RMSE,test,2.4595231314755956
RMSE,test,2.327787069121074
RMSE,test,2.49877872263027
RMSE,test,2.306949040747977
RMSE,test,2.5038830520091064
RMSE,test,2.4939402546677485
RMSE,test,2.685990370106451
R2,train,0.7104003770469
R2,train,0.71258856111051
R2,train,0.7165368227531639
R2,train,0.7084542573585855
R2,train,0.712051369514809
R2,train,0.708305198153856
R2,train,0.6991863390045558
R2,train,0.7056132821904324
R2,train,0.7044576968987716
R2,train,0.7061767897900385
R2,test,0.4721236180983741
R2,test,0.47618188222469726
R2,test,0.38583631413177466
R2,test,0.4130805821669802
R2,test,0.5213753533601397
R2,test,0.44146420992991076
R2,test,0.5676897183599274
R2,test,0.4757189341512773
R2,test,0.5243710067206888
R2,test,0.3572083510473536
MAE,train,1.3754616967711069
MAE,train,1.3642243904341425
MAE,train,1.3687252125295808
MAE,train,1.3806916244774592
MAE,train,1.3751718187324184
MAE,train,1.3816835433136714
MAE,train,1.4026584768605375
MAE,train,1.387382722188324
MAE,train,1.380554838931027
MAE,train,1.393624262515622
MAE,test,1.8746215316123775
MAE,test,1.9051130474054052
MAE,test,1.8320126507379313
MAE,test,1.9524518830825652
MAE,test,1.7918600238140936
MAE,test,1.7910348933611122
MAE,test,1.696717432651919
MAE,test,1.8459395223073582
MAE,test,1.9442952267065716
MAE,test,2.00647271421364
