metric,dataset,value
RMSE,train,1.1243157727530713
RMSE,train,1.1318954668351227
RMSE,train,1.1312763968526407
RMSE,train,1.1707722787116823
RMSE,train,1.135992725584706
RMSE,train,1.1424668960020614
RMSE,train,1.1662628408246112
RMSE,train,1.1453484561218885
RMSE,train,1.144500536323182
RMSE,train,1.1408164230465894
RMSE,test,2.1058615379491976
RMSE,test,2.0958676018883646
RMSE,test,2.0120923340475207
RMSE,test,2.099151330177597
RMSE,test,2.154821501163555
RMSE,test,2.2045037919913195
RMSE,test,2.032576364454756
RMSE,test,2.0817022740571427
RMSE,test,1.8694177427496756
RMSE,test,2.3151228572401714
R2,train,0.8899766809906093
R2,train,0.8883578352272525
R2,train,0.8897158491237227
R2,train,0.8815789943589165
R2,train,0.8874738509652693
R2,train,0.8860512657639029
R2,train,0.8800498529912537
R2,train,0.8849077693302654
R2,train,0.8836547045155281
R2,train,0.8866181108203771
R2,test,0.6007445539127234
R2,test,0.6099633741380673
R2,test,0.5995686153797684
R2,test,0.5724724044706797
R2,test,0.5898609163742543
R2,test,0.5652725044966549
R2,test,0.6644066826489292
R2,test,0.6376124024964516
R2,test,0.7327553926285428
R2,test,0.5224603807282306
MAE,train,0.8567799119906475
MAE,train,0.8641044448820753
MAE,train,0.8636157530106645
MAE,train,0.8793182223507372
MAE,train,0.8656469186087373
MAE,train,0.8742752703675467
MAE,train,0.8970216023317281
MAE,train,0.8807136612114942
MAE,train,0.8624562668891295
MAE,train,0.8615156768513198
MAE,test,1.5767329773700178
MAE,test,1.60580646847499
MAE,test,1.5684650071673776
MAE,test,1.6433837651788685
MAE,test,1.5435362183692711
MAE,test,1.5081583870347313
MAE,test,1.4585930672979412
MAE,test,1.547582633231937
MAE,test,1.4993804103127126
MAE,test,1.7630661334781
