metric,dataset,value
RMSE,train,2.153555029016089
RMSE,train,1.9591849957442606
RMSE,train,1.865961222806873
RMSE,train,1.8494740872719349
RMSE,train,1.9947749071604086
RMSE,train,2.0308643855352093
RMSE,train,1.9735953635579957
RMSE,train,2.102368168456935
RMSE,train,2.0939846761337715
RMSE,train,1.9093540746163422
RMSE,test,2.10608150362866
RMSE,test,2.106951076748872
RMSE,test,1.9839706008832558
RMSE,test,2.4245697780330073
RMSE,test,1.860100997110615
RMSE,test,1.9652093808778512
RMSE,test,2.0466402807409074
RMSE,test,2.0881791660347706
RMSE,test,1.9716755761627516
RMSE,test,1.9132580370602739
R2,train,0.615105926990509
R2,train,0.6836390495300293
R2,train,0.7099330425262451
R2,train,0.7143384218215942
R2,train,0.6650063991546631
R2,train,0.6542098522186279
R2,train,0.6733501553535461
R2,train,0.6287702322006226
R2,train,0.6303592920303345
R2,train,0.6910326480865479
R2,test,0.5902534127235413
R2,test,0.562408447265625
R2,test,0.6523493528366089
R2,test,0.4860379099845886
R2,test,0.7202498912811279
R2,test,0.6777241230010986
R2,test,0.6538501381874084
R2,test,0.6451932191848755
R2,test,0.6826380491256714
R2,test,0.7246369123458862
MAE,train,1.7241584062576294
MAE,train,1.5653096437454224
MAE,train,1.4823237657546997
MAE,train,1.4760419130325317
MAE,train,1.59519624710083
MAE,train,1.635318636894226
MAE,train,1.5718343257904053
MAE,train,1.6717216968536377
MAE,train,1.685920000076294
MAE,train,1.5214171409606934
MAE,test,1.6924678087234497
MAE,test,1.6897177696228027
MAE,test,1.5981699228286743
MAE,test,1.869067907333374
MAE,test,1.501878261566162
MAE,test,1.5637316703796387
MAE,test,1.6151964664459229
MAE,test,1.7337719202041626
MAE,test,1.5891785621643066
MAE,test,1.4963370561599731
