metric,dataset,value
RMSE,train,2.4535284986129384
RMSE,train,2.445244638884654
RMSE,train,2.4310543226718515
RMSE,train,2.5134599740108436
RMSE,train,2.4480992242363344
RMSE,train,2.5247431822749995
RMSE,train,2.4284466583193147
RMSE,train,2.3604901438424277
RMSE,train,2.5033485874705153
RMSE,train,2.4413850585017784
RMSE,test,2.6398236565503965
RMSE,test,2.5793337675902563
RMSE,test,2.500028037867678
RMSE,test,2.481990605670816
RMSE,test,2.39688905316427
RMSE,test,2.5021494208466377
RMSE,test,2.947510402619024
RMSE,test,2.498580052529866
RMSE,test,2.7455409051046358
RMSE,test,2.70113965813104
R2,train,0.5004125237464905
R2,train,0.5071933269500732
R2,train,0.5076404213905334
R2,train,0.47240668535232544
R2,train,0.495447039604187
R2,train,0.46557700634002686
R2,train,0.5054349899291992
R2,train,0.5320174694061279
R2,train,0.4717063903808594
R2,train,0.494859516620636
R2,test,0.35625356435775757
R2,test,0.34419435262680054
R2,test,0.447970449924469
R2,test,0.4614053964614868
R2,test,0.5354921817779541
R2,test,0.47755974531173706
R2,test,0.2820538878440857
R2,test,0.49202436208724976
R2,test,0.3846251368522644
R2,test,0.4511512517929077
MAE,train,1.965651273727417
MAE,train,1.9896808862686157
MAE,train,1.9627362489700317
MAE,train,2.0193676948547363
MAE,train,1.9420278072357178
MAE,train,2.032057285308838
MAE,train,1.971067190170288
MAE,train,1.8946129083633423
MAE,train,2.009223222732544
MAE,train,1.9744402170181274
MAE,test,2.1359012126922607
MAE,test,2.0609230995178223
MAE,test,1.9872702360153198
MAE,test,1.9684332609176636
MAE,test,2.0266499519348145
MAE,test,2.113013744354248
MAE,test,2.320956230163574
MAE,test,2.0575783252716064
MAE,test,2.1579809188842773
MAE,test,2.2032408714294434
Fit_time,train,38.63445281982422
Fit_time,train,37.54719018936157
Fit_time,train,37.44870662689209
Fit_time,train,37.7510039806366
Fit_time,train,37.60349917411804
Fit_time,train,37.48185873031616
Fit_time,train,37.80150008201599
Fit_time,train,37.33924913406372
Fit_time,train,37.54008913040161
Fit_time,train,37.65497899055481
Fit_time,test,0.01807546615600586
Fit_time,test,0.017511606216430664
Fit_time,test,0.014000654220581055
Fit_time,test,0.0180051326751709
Fit_time,test,0.019004344940185547
Fit_time,test,0.01644277572631836
Fit_time,test,0.0187225341796875
Fit_time,test,0.015004158020019531
Fit_time,test,0.01900172233581543
Fit_time,test,0.018002033233642578
