metric,dataset,value
RMSE,train,1.3088469406313792
RMSE,train,1.3083753344579494
RMSE,train,1.3112200481835885
RMSE,train,1.2762338170253464
RMSE,train,1.2714752545578987
RMSE,train,1.3055970301305835
RMSE,train,1.299639910597703
RMSE,train,1.2918951515118344
RMSE,train,1.2946277238098773
RMSE,train,1.297137545485968
RMSE,test,1.821256767287683
RMSE,test,1.820443414388407
RMSE,test,1.863343116216429
RMSE,test,2.014673284245532
RMSE,test,1.8945149265236159
RMSE,test,1.757451347965256
RMSE,test,1.9000363556969626
RMSE,test,2.045897849697877
RMSE,test,1.847241523427947
RMSE,test,1.9884167255063867
R2,train,0.857830306534848
R2,train,0.8589098684624019
R2,train,0.8567666313972306
R2,train,0.8639759192884356
R2,train,0.8638979963489568
R2,train,0.857087880322425
R2,train,0.8583513899715981
R2,train,0.859822005508778
R2,train,0.8587063736094795
R2,train,0.8574025819561027
R2,test,0.6935868237213354
R2,test,0.6733261188621366
R2,test,0.6933392070209506
R2,test,0.6451286106178755
R2,test,0.709802802407195
R2,test,0.7422630214409269
R2,test,0.7016644346134385
R2,test,0.659416086388703
R2,test,0.7214319901824797
R2,test,0.702577797266564
MAE,train,1.0238181087178297
MAE,train,1.0328499034144745
MAE,train,1.0370829921602867
MAE,train,1.0058004461982235
MAE,train,1.003697040239326
MAE,train,1.0191833698467165
MAE,train,1.0271994441947472
MAE,train,1.0258426068992377
MAE,train,1.011092684538817
MAE,train,1.0243737611435133
MAE,test,1.4582182354612294
MAE,test,1.4670586383825106
MAE,test,1.4229616048174178
MAE,test,1.5515049567348778
MAE,test,1.4992404293015378
MAE,test,1.3807819882817745
MAE,test,1.5703325003650819
MAE,test,1.6744569250216566
MAE,test,1.477050206186702
MAE,test,1.5767352552607843
Fit_time,train,1.2104320526123047
Fit_time,train,1.1687417030334473
Fit_time,train,1.1578857898712158
Fit_time,train,1.213244915008545
Fit_time,train,1.2724950313568115
Fit_time,train,1.3745272159576416
Fit_time,train,1.2548880577087402
Fit_time,train,1.2550270557403564
Fit_time,train,1.3100759983062744
Fit_time,train,1.2282464504241943
Fit_time,test,0.006143093109130859
Fit_time,test,0.0052013397216796875
Fit_time,test,0.0055005550384521484
Fit_time,test,0.006411075592041016
Fit_time,test,0.008622407913208008
Fit_time,test,0.006582021713256836
Fit_time,test,0.006391763687133789
Fit_time,test,0.0075190067291259766
Fit_time,test,0.0050830841064453125
Fit_time,test,0.006715536117553711
