metric,dataset,value
RMSE,train,1.1032388750626057
RMSE,train,1.0848697608054014
RMSE,train,1.1126629719573708
RMSE,train,1.080911115840206
RMSE,train,1.1051584325727322
RMSE,train,1.066372733415317
RMSE,train,1.1130775934782093
RMSE,train,1.098516886827831
RMSE,train,1.1291592651468971
RMSE,train,1.0971663971842895
RMSE,test,2.0232650462752235
RMSE,test,2.126653475318477
RMSE,test,1.9361370521909163
RMSE,test,2.2686203636119453
RMSE,test,2.0710095067944905
RMSE,test,2.076124619223865
RMSE,test,2.121487144322746
RMSE,test,2.0214683645781015
RMSE,test,2.070961695127659
RMSE,test,2.153920979480892
R2,train,0.8989890591773936
R2,train,0.9029965568170865
R2,train,0.8968616177260791
R2,train,0.9024257393290803
R2,train,0.8971752226822727
R2,train,0.9046613896347787
R2,train,0.89609962410382
R2,train,0.8986464930137271
R2,train,0.8925161607888887
R2,train,0.8979801694550944
R2,test,0.6218443119202335
R2,test,0.5541862035199456
R2,test,0.6689109786082006
R2,test,0.5500281099253386
R2,test,0.6532141756015587
R2,test,0.6403194550237492
R2,test,0.6280693091297411
R2,test,0.667501157247046
R2,test,0.6498710598932783
R2,test,0.6510058851900777
MAE,train,0.8558852379242853
MAE,train,0.8402428899004382
MAE,train,0.8638206400212223
MAE,train,0.8378069024944623
MAE,train,0.8665263110784105
MAE,train,0.8339485226849644
MAE,train,0.8636706030328306
MAE,train,0.8528298090106373
MAE,train,0.8823915973005402
MAE,train,0.8574964616266246
MAE,test,1.622193411860061
MAE,test,1.6694572668950343
MAE,test,1.5613599878080064
MAE,test,1.7165954947477442
MAE,test,1.6086463964579203
MAE,test,1.6547570063689732
MAE,test,1.6680063338248958
MAE,test,1.6247355552207075
MAE,test,1.6007211668831762
MAE,test,1.695606218045993
