metric,dataset,value
RMSE,train,0.33790879117078987
RMSE,train,0.34478170162638094
RMSE,train,0.3329555986524191
RMSE,train,0.3434197128575634
RMSE,train,0.34129413756625115
RMSE,train,0.34630356735593104
RMSE,train,0.3246072091307246
RMSE,train,0.3269621563385901
RMSE,train,0.3282985082300369
RMSE,train,0.3369703706041238
RMSE,test,0.6227932307887358
RMSE,test,0.6463499778129882
RMSE,test,0.5836167268528087
RMSE,test,0.5805209564910724
RMSE,test,0.592693670508533
RMSE,test,0.5105191566914028
RMSE,test,0.6802795915038156
RMSE,test,0.6921329357965271
RMSE,test,0.6358870340998612
RMSE,test,0.5682879038166609
R2,train,0.75774930427926
R2,train,0.7422914833307479
R2,train,0.7637522925196731
R2,train,0.7485645860876231
R2,train,0.7504894259280859
R2,train,0.7486686233586274
R2,train,0.7718358218410499
R2,train,0.7704667269324934
R2,train,0.7646201116635911
R2,train,0.7573139971499266
R2,test,0.08567591131273866
R2,test,0.1846895260560396
R2,test,0.23302226480416444
R2,test,0.245323833586925
R2,test,0.24722108694194989
R2,test,0.2986232960232109
R2,test,0.09463673897689773
R2,test,-0.004885434193788063
R2,test,0.2582384805594957
R2,test,0.2939036388015842
MAE,train,0.23801729552870415
MAE,train,0.24300710725154953
MAE,train,0.2354229210268263
MAE,train,0.24390026767288872
MAE,train,0.24076916075266527
MAE,train,0.24469193213578527
MAE,train,0.23012453870120866
MAE,train,0.23294219833454755
MAE,train,0.23204308605293103
MAE,train,0.2380876793319628
MAE,test,0.4406540315739015
MAE,test,0.44989036243528074
MAE,test,0.4154649628547703
MAE,test,0.3944024811759149
MAE,test,0.4292683227229245
MAE,test,0.36098252428313
MAE,test,0.479247131535507
MAE,test,0.49981367553386813
MAE,test,0.44191181925461065
MAE,test,0.4073192422820373
