metric,dataset,value
RMSE,train,0.24513106306312787
RMSE,train,0.23651253483588136
RMSE,train,0.23576135810453647
RMSE,train,0.2354525245100397
RMSE,train,0.23844193822505969
RMSE,train,0.23618555066996805
RMSE,train,0.23215890598468375
RMSE,train,0.22695825410430112
RMSE,train,0.22991445672901265
RMSE,train,0.2405606856406933
RMSE,test,0.5850274936186411
RMSE,test,0.6221800950331694
RMSE,test,0.5532307586594575
RMSE,test,0.5396571445681113
RMSE,test,0.5377742662477473
RMSE,test,0.49906663269998475
RMSE,test,0.5842116343115488
RMSE,test,0.5781844728043233
RMSE,test,0.5977932811137902
RMSE,test,0.5457648664062735
R2,train,0.872513925460786
R2,train,0.8787313119634169
R2,train,0.8815485972573628
R2,train,0.8818094624847135
R2,train,0.8782142190426572
R2,train,0.8830932925878896
R2,train,0.8832916748457574
R2,train,0.8894031810554797
R2,train,0.8845579330986738
R2,train,0.8763168312219829
R2,test,0.1932017499005657
R2,test,0.24452556782466495
R2,test,0.31080846914986404
R2,test,0.34783018727563786
R2,test,0.380263751106664
R2,test,0.3297384310274004
R2,test,0.3322892233586836
R2,test,0.29875404676355755
R2,test,0.3444490982210474
R2,test,0.34876415256158455
MAE,train,0.17291856061252356
MAE,train,0.16851352246367335
MAE,train,0.1676535290097444
MAE,train,0.16775087174638584
MAE,train,0.1702898450182236
MAE,train,0.16689000393776476
MAE,train,0.1662262018360915
MAE,train,0.1625713906267556
MAE,train,0.1636702563433833
MAE,train,0.17051778261230963
MAE,test,0.4148247795596609
MAE,test,0.4385277480601083
MAE,test,0.3934076997925798
MAE,test,0.3653845372702191
MAE,test,0.38849912400112724
MAE,test,0.34936782910318415
MAE,test,0.4080053689467105
MAE,test,0.4098323911696442
MAE,test,0.4078202445379023
MAE,test,0.38786355193566263
