metric,dataset,value
RMSE,train,0.5681975353841424
RMSE,train,0.565909858757409
RMSE,train,0.5879860227117291
RMSE,train,0.5534861274779584
RMSE,train,0.5784853250526495
RMSE,train,0.5785344709975243
RMSE,train,0.5184364255833084
RMSE,train,0.5610297379593124
RMSE,train,0.5614012477449115
RMSE,train,0.5436421068069532
RMSE,test,0.6307850135462273
RMSE,test,0.630167768029306
RMSE,test,0.5625699847447856
RMSE,test,0.5315471827718258
RMSE,test,0.59527665177992
RMSE,test,0.5281592104062387
RMSE,test,0.5779600423593668
RMSE,test,0.6694980760009674
RMSE,test,0.6380029610965737
RMSE,test,0.5205257047687727
R2,train,0.3150407671928406
R2,train,0.30571967363357544
R2,train,0.2632349729537964
R2,train,0.3468852639198303
R2,train,0.28317028284072876
R2,train,0.29855877161026
R2,train,0.41800111532211304
R2,train,0.3241933584213257
R2,train,0.3116992115974426
R2,train,0.3683340549468994
R2,test,0.062059879302978516
R2,test,0.22500324249267578
R2,test,0.28734326362609863
R2,test,0.36728447675704956
R2,test,0.24064552783966064
R2,test,0.24931633472442627
R2,test,0.34650301933288574
R2,test,0.059765517711639404
R2,test,0.2532937526702881
R2,test,0.4076048731803894
MAE,train,0.4059140682220459
MAE,train,0.40547192096710205
MAE,train,0.42357975244522095
MAE,train,0.3877866268157959
MAE,train,0.4163925051689148
MAE,train,0.4175958037376404
MAE,train,0.3675330877304077
MAE,train,0.40720295906066895
MAE,train,0.40311741828918457
MAE,train,0.3822738826274872
MAE,test,0.4497803747653961
MAE,test,0.4362126290798187
MAE,test,0.41186827421188354
MAE,test,0.3993561267852783
MAE,test,0.40152645111083984
MAE,test,0.36813557147979736
MAE,test,0.37183287739753723
MAE,test,0.4562116265296936
MAE,test,0.4088355004787445
MAE,test,0.361183762550354
