metric,dataset,value
RMSE,train,0.33521215349051847
RMSE,train,0.33970152604770804
RMSE,train,0.3438622405497973
RMSE,train,0.3516207603815327
RMSE,train,0.3422594014630812
RMSE,train,0.36395685488598606
RMSE,train,0.34855078957275837
RMSE,train,0.34679652320949644
RMSE,train,0.35949508363532423
RMSE,train,0.3518145057116648
RMSE,test,0.5883268505141535
RMSE,test,0.6107896515048901
RMSE,test,0.5509227188512086
RMSE,test,0.5825532510993432
RMSE,test,0.6063971687680002
RMSE,test,0.5300633241984093
RMSE,test,0.6471641608507218
RMSE,test,0.595050866506472
RMSE,test,0.6102263468929312
RMSE,test,0.6040837286971562
R2,train,0.7616003773085691
R2,train,0.7498299303508476
R2,train,0.748021238948853
R2,train,0.7364123715312154
R2,train,0.7490760753607872
R2,train,0.7223916107496904
R2,train,0.7369348722053672
R2,train,0.7417738968331802
R2,train,0.7177607270221805
R2,train,0.7354615640756506
R2,test,0.18407595137187138
R2,test,0.271933773253335
R2,test,0.31654699094470795
R2,test,0.240030626074346
R2,test,0.21200911067633177
R2,test,0.24389386457180673
R2,test,0.1806359600577253
R2,test,0.2572447965563497
R2,test,0.3168968791872696
R2,test,0.20214967700883402
MAE,train,0.23646880091471004
MAE,train,0.2360381294227201
MAE,train,0.2399369562827869
MAE,train,0.24592497726935472
MAE,train,0.24170625349174957
MAE,train,0.25555183318867464
MAE,train,0.2445478935608991
MAE,train,0.2425203091387304
MAE,train,0.251414571039027
MAE,train,0.2458657042400376
MAE,test,0.4106870616092802
MAE,test,0.4323786960697835
MAE,test,0.39422234508688403
MAE,test,0.3991664435764414
MAE,test,0.42672960675086297
MAE,test,0.3841278375004337
MAE,test,0.4566888702116452
MAE,test,0.4325678828412421
MAE,test,0.4251277699962173
MAE,test,0.4183334629768432
