metric,dataset,value
RMSE,train,0.3222352458036841
RMSE,train,0.3258493301691258
RMSE,train,0.32921988895246407
RMSE,train,0.32902193651957046
RMSE,train,0.3219111295289993
RMSE,train,0.3223549354284671
RMSE,train,0.3190844866107807
RMSE,train,0.3225577239758836
RMSE,train,0.3284448539154353
RMSE,train,0.32624448981057647
RMSE,test,0.5954598209416768
RMSE,test,0.6684945187582361
RMSE,test,0.5759791737425467
RMSE,test,0.5985007526942144
RMSE,test,0.6239505905752417
RMSE,test,0.536153019353201
RMSE,test,0.6551289921224153
RMSE,test,0.6317429671280415
RMSE,test,0.6151078956974316
RMSE,test,0.5791885980808011
R2,train,0.7797011985132738
R2,train,0.7698165903388632
R2,train,0.7690238771006106
R2,train,0.7692053626527222
R2,train,0.7780253998109088
R2,train,0.7822283071525861
R2,train,0.7795335446670507
R2,train,0.7766090557980543
R2,train,0.7644102142202039
R2,train,0.7725176698700646
R2,test,0.16417122260256856
R2,test,0.12786594237310167
R2,test,0.252965160156998
R2,test,0.19785250386487152
R2,test,0.16572877097281713
R2,test,0.22642083795112788
R2,test,0.16034356447533493
R2,test,0.16282095197626723
R2,test,0.3059241018599119
R2,test,0.2665556679032435
MAE,train,0.2250856880518136
MAE,train,0.2278906417011985
MAE,train,0.2294762421990961
MAE,train,0.2294255749762765
MAE,train,0.22375427089411787
MAE,train,0.22506736543438716
MAE,train,0.22013827316628684
MAE,train,0.22607218107988672
MAE,train,0.22792995649331904
MAE,train,0.22638626015632132
MAE,test,0.42223034624272887
MAE,test,0.45473867357183484
MAE,test,0.40767709078187225
MAE,test,0.39906600225873645
MAE,test,0.43007201791716615
MAE,test,0.3470800418918487
MAE,test,0.44353034285279797
MAE,test,0.4423664867514091
MAE,test,0.43187207309208975
MAE,test,0.4125764622602111
