metric,dataset,value
RMSE,train,0.32743308915772673
RMSE,train,0.3246848327649449
RMSE,train,0.3300431601410668
RMSE,train,0.3301944090965937
RMSE,train,0.3338407967666273
RMSE,train,0.3325336239708639
RMSE,train,0.32819961235854395
RMSE,train,0.32622428050093905
RMSE,train,0.32990848348168456
RMSE,train,0.3244915718704668
RMSE,test,0.5583787109185752
RMSE,test,0.6329337301150547
RMSE,test,0.5732830656935929
RMSE,test,0.572956643915849
RMSE,test,0.5841225344091784
RMSE,test,0.5243387398026883
RMSE,test,0.6273836818880462
RMSE,test,0.6218091600643796
RMSE,test,0.6242686052905324
RMSE,test,0.5898764977804
R2,train,0.772536780150163
R2,train,0.7714588770815625
R2,train,0.7678672413530739
R2,train,0.7675575544274766
R2,train,0.7612682866161546
R2,train,0.7682584486096034
R2,train,0.7667577259041628
R2,train,0.771501561957086
R2,train,0.7623058459287309
R2,train,0.7749556365063222
R2,test,0.2650291777860996
R2,test,0.21818495023529805
R2,test,0.2599424011913636
R2,test,0.26486288439777084
R2,test,0.26883602014004815
R2,test,0.26013728406470393
R2,test,0.22995798838065196
R2,test,0.18894230316346716
R2,test,0.2850966215135763
R2,test,0.23923708213166195
MAE,train,0.24103316252713916
MAE,train,0.23944211084689707
MAE,train,0.24285008531729024
MAE,train,0.2450713540147172
MAE,train,0.24631967085680498
MAE,train,0.24609713259739907
MAE,train,0.24352734219961492
MAE,train,0.23970544829348533
MAE,train,0.24375123956622466
MAE,train,0.24100391363142865
MAE,test,0.3993409041127525
MAE,test,0.45035495089005606
MAE,test,0.41729215383255813
MAE,test,0.38376380164058227
MAE,test,0.42060675434272016
MAE,test,0.37239291312055106
MAE,test,0.44597636063032675
MAE,test,0.44800071344823883
MAE,test,0.43274831252694684
MAE,test,0.41747275737190254
