metric,dataset,value
RMSE,train,0.1724192552752093
RMSE,train,0.16808170579232792
RMSE,train,0.17967866792948936
RMSE,train,0.17709263024515487
RMSE,train,0.17616890441690716
RMSE,train,0.17593582033097496
RMSE,train,0.1710447829210837
RMSE,train,0.1700775923784123
RMSE,train,0.1794282971762323
RMSE,train,0.17769084648915123
RMSE,test,0.5497303399182759
RMSE,test,0.5790716359734817
RMSE,test,0.527566085852051
RMSE,test,0.5323038587523848
RMSE,test,0.542592611318592
RMSE,test,0.4694361592003064
RMSE,test,0.5744617492949775
RMSE,test,0.5987949369606373
RMSE,test,0.5616581232834226
RMSE,test,0.5375331247457915
R2,train,0.936927855014801
R2,train,0.9387534856796265
R2,train,0.9312000870704651
R2,train,0.933138370513916
R2,train,0.9335201978683472
R2,train,0.9351303577423096
R2,train,0.9366493821144104
R2,train,0.9378923773765564
R2,train,0.9296905994415283
R2,train,0.9325174689292908
R2,test,0.2876198887825012
R2,test,0.34558677673339844
R2,test,0.373269259929657
R2,test,0.3654818534851074
R2,test,0.3691086173057556
R2,test,0.4069649577140808
R2,test,0.35439008474349976
R2,test,0.24786853790283203
R2,test,0.42130666971206665
R2,test,0.36826109886169434
MAE,train,0.12575116753578186
MAE,train,0.12226752936840057
MAE,train,0.13079111278057098
MAE,train,0.12815091013908386
MAE,train,0.12793861329555511
MAE,train,0.1269083023071289
MAE,train,0.1245759055018425
MAE,train,0.12457622587680817
MAE,train,0.13012392818927765
MAE,train,0.1285606324672699
MAE,test,0.38980549573898315
MAE,test,0.39680805802345276
MAE,test,0.36553654074668884
MAE,test,0.36119523644447327
MAE,test,0.3757507801055908
MAE,test,0.3170596659183502
MAE,test,0.3920038044452667
MAE,test,0.4280688166618347
MAE,test,0.3754258453845978
MAE,test,0.3804384469985962
