metric,dataset,value
RMSE,train,0.2165295955161475
RMSE,train,0.2000150380590478
RMSE,train,0.2085986544000369
RMSE,train,0.21882776172502919
RMSE,train,0.2132690461129112
RMSE,train,0.22083609297365633
RMSE,train,0.2057510054541734
RMSE,train,0.2121404765529581
RMSE,train,0.21451540912787082
RMSE,train,0.20745434803195278
RMSE,test,0.572926865111237
RMSE,test,0.6186029403940391
RMSE,test,0.5511296029645986
RMSE,test,0.554288021820747
RMSE,test,0.5484682851557608
RMSE,test,0.5044153288609181
RMSE,test,0.6037788681173621
RMSE,test,0.6443923338104336
RMSE,test,0.5743423899711215
RMSE,test,0.5650484845786435
R2,train,0.900528073310852
R2,train,0.9132707118988037
R2,train,0.9072704911231995
R2,train,0.8979105353355408
R2,train,0.9025713205337524
R2,train,0.8977948427200317
R2,train,0.9083325862884521
R2,train,0.9033731818199158
R2,train,0.8995040655136108
R2,train,0.9080172777175903
R2,test,0.22623205184936523
R2,test,0.25318771600723267
R2,test,0.31603360176086426
R2,test,0.31198829412460327
R2,test,0.3553709387779236
R2,test,0.3152945041656494
R2,test,0.28681236505508423
R2,test,0.12895971536636353
R2,test,0.39487355947494507
R2,test,0.30193066596984863
MAE,train,0.1543416976928711
MAE,train,0.14212915301322937
MAE,train,0.14896182715892792
MAE,train,0.1549571007490158
MAE,train,0.151075080037117
MAE,train,0.15620006620883942
MAE,train,0.1465158313512802
MAE,train,0.1513001173734665
MAE,train,0.15231287479400635
MAE,train,0.14690691232681274
MAE,test,0.3996085822582245
MAE,test,0.42976441979408264
MAE,test,0.38386037945747375
MAE,test,0.3695518970489502
MAE,test,0.3792094886302948
MAE,test,0.3409256339073181
MAE,test,0.4124714136123657
MAE,test,0.46099168062210083
MAE,test,0.3886849880218506
MAE,test,0.3927430212497711
