metric,dataset,value
RMSE,train,0.5270718052911818
RMSE,train,0.5202008200547736
RMSE,train,0.5423020307378369
RMSE,train,0.5343335410179673
RMSE,train,0.5201072986721477
RMSE,train,0.5363100979772968
RMSE,train,0.541219385124247
RMSE,train,0.5235556075899139
RMSE,train,0.5272403283485273
RMSE,train,0.5363962458865118
RMSE,test,0.6570554188798174
RMSE,test,0.6874232327619602
RMSE,test,0.598244350013774
RMSE,test,0.6001012455712675
RMSE,test,0.6682737608462139
RMSE,test,0.5511056919206344
RMSE,test,0.6815156763458271
RMSE,test,0.6484923004786283
RMSE,test,0.7050209263289896
RMSE,test,0.626213141931742
R2,train,0.41060612040189115
R2,train,0.41334548325652154
R2,train,0.37327442076692896
R2,train,0.3913033969899169
R2,train,0.42054836168110676
R2,train,0.39721181990303345
R2,train,0.3657246601657014
R2,train,0.41145956922382154
R2,train,0.3929160132696966
R2,train,0.38505998104711114
R2,test,-0.017692086489850656
R2,test,0.07777698392367816
R2,test,0.19409378099380648
R2,test,0.1935566096996697
R2,test,0.04299174279083928
R2,test,0.1826707460406306
R2,test,0.09134361497636845
R2,test,0.11784039466377527
R2,test,0.08818154942767842
R2,test,0.1426236403704002
MAE,train,0.3689152463788948
MAE,train,0.365901938893885
MAE,train,0.38254025277268483
MAE,train,0.37849850316264805
MAE,train,0.3655989219384966
MAE,train,0.37986049964655066
MAE,train,0.38108904764258156
MAE,train,0.36923580788605465
MAE,train,0.37096360712957915
MAE,train,0.37730357803450354
MAE,test,0.4871114975014083
MAE,test,0.49307809182256296
MAE,test,0.4450915399903507
MAE,test,0.4183925447580892
MAE,test,0.46602776337373203
MAE,test,0.3835304914562229
MAE,test,0.4995100373134778
MAE,test,0.47819327013566965
MAE,test,0.49438858205853353
MAE,test,0.4505332424544673
