metric,dataset,value
RMSE,train,0.42921363622063435
RMSE,train,0.4148624226383839
RMSE,train,0.43053236351066315
RMSE,train,0.4278160069149691
RMSE,train,0.43027122111792254
RMSE,train,0.43034676107802544
RMSE,train,0.4298890688314349
RMSE,train,0.4138370617052951
RMSE,train,0.41996131246544716
RMSE,train,0.4347150208358061
RMSE,test,0.5671253157202021
RMSE,test,0.5954302887809455
RMSE,test,0.541575004242928
RMSE,test,0.5538362480498124
RMSE,test,0.6206749921229354
RMSE,test,0.5162508435040215
RMSE,test,0.6085272206027624
RMSE,test,0.6322835202665392
RMSE,test,0.6332381143974113
RMSE,test,0.5712789510831817
R2,train,0.6091473382646921
R2,train,0.6268799800127007
R2,train,0.604991386761179
R2,train,0.6097974844282343
R2,train,0.6034336165516796
R2,train,0.6118765736082046
R2,train,0.5998305377026087
R2,train,0.6322866177321598
R2,train,0.6148320851709044
R2,train,0.5961030337752002
R2,test,0.2418232491661827
R2,test,0.30809034501019517
R2,test,0.33954304288402015
R2,test,0.3131093838822566
R2,test,0.17446524614569292
R2,test,0.2827859329340803
R2,test,0.2755506913105098
R2,test,0.16138766852370057
R2,test,0.26440553246572707
R2,test,0.28645134043442966
MAE,train,0.3004208419388351
MAE,train,0.2926364932341798
MAE,train,0.30412565394360774
MAE,train,0.3016522359218089
MAE,train,0.3018154012061915
MAE,train,0.30476808943127276
MAE,train,0.3063879047460216
MAE,train,0.2915608094970126
MAE,train,0.2952384440595815
MAE,train,0.30531034616221625
MAE,test,0.41168889123443403
MAE,test,0.4172270281237385
MAE,test,0.3868195716819413
MAE,test,0.3824638670132441
MAE,test,0.41865604070739904
MAE,test,0.3526174827578427
MAE,test,0.4203917199848467
MAE,test,0.44428080136309017
MAE,test,0.4445644224085307
MAE,test,0.40646337112579367
