metric,dataset,value
RMSE,train,0.596959849013826
RMSE,train,0.587917872206193
RMSE,train,0.5968380981542023
RMSE,train,0.6035841128305517
RMSE,train,0.5927953323267366
RMSE,train,0.6127320764691364
RMSE,train,0.581132361085007
RMSE,train,0.5866347170207277
RMSE,train,0.5906129583513816
RMSE,train,0.5950526704235783
RMSE,test,0.6295767343563653
RMSE,test,0.676522129959983
RMSE,test,0.6196321527923593
RMSE,test,0.6122677440540928
RMSE,test,0.6295541778350692
RMSE,test,0.5652853826088864
RMSE,test,0.6382686263555503
RMSE,test,0.66404365064011
RMSE,test,0.6946578855461379
RMSE,test,0.6127994612999558
R2,train,0.24393999576568604
R2,train,0.25066906213760376
R2,train,0.2408841848373413
R2,train,0.22330302000045776
R2,train,0.24726718664169312
R2,train,0.2131824493408203
R2,train,0.26872414350509644
R2,train,0.26109910011291504
R2,train,0.23820620775222778
R2,train,0.2432156801223755
R2,test,0.06564974784851074
R2,test,0.10679423809051514
R2,test,0.135439932346344
R2,test,0.160525381565094
R2,test,0.15067660808563232
R2,test,0.14007067680358887
R2,test,0.20300614833831787
R2,test,0.075023353099823
R2,test,0.11478996276855469
R2,test,0.17896074056625366
MAE,train,0.44369423389434814
MAE,train,0.4390914738178253
MAE,train,0.44327792525291443
MAE,train,0.45155906677246094
MAE,train,0.4398983120918274
MAE,train,0.45753443241119385
MAE,train,0.43284115195274353
MAE,train,0.43827417492866516
MAE,train,0.4388521909713745
MAE,train,0.44279536604881287
MAE,test,0.46787527203559875
MAE,test,0.4918860197067261
MAE,test,0.4629921317100525
MAE,test,0.4038964509963989
MAE,test,0.4927810728549957
MAE,test,0.41914433240890503
MAE,test,0.4670448899269104
MAE,test,0.5016005635261536
MAE,test,0.4732488691806793
MAE,test,0.44970160722732544
