metric,dataset,value
RMSE,train,0.6108590419566887
RMSE,train,0.6001994308196321
RMSE,train,0.6171400558971668
RMSE,train,0.6151944102068069
RMSE,train,0.5996824089577649
RMSE,train,0.6119221735178378
RMSE,train,0.603791528738577
RMSE,train,0.612861854359335
RMSE,train,0.5951018754311934
RMSE,train,0.603579002435232
RMSE,test,0.6281299182832143
RMSE,test,0.6831765563928689
RMSE,test,0.6196172666546145
RMSE,test,0.6240336338219087
RMSE,test,0.6322321408661767
RMSE,test,0.5826582635510721
RMSE,test,0.6886269695941416
RMSE,test,0.6751079843824503
RMSE,test,0.681769962664797
RMSE,test,0.6164509446411544
R2,train,0.2083229422569275
R2,train,0.21903514862060547
R2,train,0.18836194276809692
R2,train,0.19313520193099976
R2,train,0.22967511415481567
R2,train,0.21526110172271729
R2,train,0.21058541536331177
R2,train,0.19355303049087524
R2,train,0.22658216953277588
R2,train,0.2213728427886963
R2,test,0.06993913650512695
R2,test,0.08913630247116089
R2,test,0.13548147678375244
R2,test,0.12795114517211914
R2,test,0.14343565702438354
R2,test,0.08640211820602417
R2,test,0.07228195667266846
R2,test,0.04394251108169556
R2,test,0.14733171463012695
R2,test,0.16914695501327515
MAE,train,0.45524781942367554
MAE,train,0.4472300410270691
MAE,train,0.46013352274894714
MAE,train,0.46207714080810547
MAE,train,0.4533109664916992
MAE,train,0.4519892930984497
MAE,train,0.45208585262298584
MAE,train,0.4541487693786621
MAE,train,0.44239339232444763
MAE,train,0.4493310749530792
MAE,test,0.4460411071777344
MAE,test,0.5075229406356812
MAE,test,0.4474093019962311
MAE,test,0.4625750184059143
MAE,test,0.4373158812522888
MAE,test,0.43994399905204773
MAE,test,0.48039644956588745
MAE,test,0.4918290972709656
MAE,test,0.4821307063102722
MAE,test,0.472499281167984
