metric,dataset,value
RMSE,train,0.40533491611672606
RMSE,train,0.40623015432874343
RMSE,train,0.4131620566020921
RMSE,train,0.41572315999923387
RMSE,train,0.41008846093898443
RMSE,train,0.41305333553804063
RMSE,train,0.415458868297818
RMSE,train,0.40185321618156056
RMSE,train,0.41582407653491893
RMSE,train,0.41279511740988284
RMSE,test,0.611501564460776
RMSE,test,0.6076375585312757
RMSE,test,0.5696002434470413
RMSE,test,0.54959251428081
RMSE,test,0.5845635360738719
RMSE,test,0.5121533042970751
RMSE,test,0.6125489865057488
RMSE,test,0.6094931890240225
RMSE,test,0.6389674717576934
RMSE,test,0.5862001994840812
R2,train,0.651426727475996
R2,train,0.6422458590623059
R2,train,0.6362225116974957
R2,train,0.6315450081250427
R2,train,0.6397645926706552
R2,train,0.6424431961555851
R2,train,0.6262448314499158
R2,train,0.653274671107618
R2,train,0.6223836437595613
R2,train,0.6358080004727475
R2,test,0.11852999269220421
R2,test,0.2794290237715672
R2,test,0.26942025365237576
R2,test,0.32359556274424106
R2,test,0.26773157292872785
R2,test,0.29412596252563705
R2,test,0.26594325443934064
R2,test,0.22075283178168936
R2,test,0.2510344191307903
R2,test,0.24869016657119336
MAE,train,0.293666681390171
MAE,train,0.2937846329814649
MAE,train,0.29802374695118233
MAE,train,0.3025448911138339
MAE,train,0.2985103237044708
MAE,train,0.3000117039055806
MAE,train,0.3032842798524697
MAE,train,0.2921122238444501
MAE,train,0.3003448584603499
MAE,train,0.29904493931528525
MAE,test,0.43689566103886684
MAE,test,0.4362255653020676
MAE,test,0.4038604425269748
MAE,test,0.38273716050314793
MAE,test,0.4108709754538888
MAE,test,0.36127502629917774
MAE,test,0.4247906668970063
MAE,test,0.43840532134753823
MAE,test,0.4459245970291805
MAE,test,0.41162367035463826
