metric,dataset,value
RMSE,train,0.36101169295854324
RMSE,train,0.34534910555847387
RMSE,train,0.3580708917258688
RMSE,train,0.3598608146358188
RMSE,train,0.36506309229152883
RMSE,train,0.3606942592337933
RMSE,train,0.3600530903389613
RMSE,train,0.34729216244489575
RMSE,train,0.3543694165531283
RMSE,train,0.3527356092439387
RMSE,test,0.6093167257733204
RMSE,test,0.6189521410769155
RMSE,test,0.5589088581339571
RMSE,test,0.5481579103491403
RMSE,test,0.6181445115157143
RMSE,test,0.49885235148093354
RMSE,test,0.6258689810289296
RMSE,test,0.6397679829932164
RMSE,test,0.5851535244188384
RMSE,test,0.5630741586876751
R2,train,0.723491434631
R2,train,0.7414425685223537
R2,train,0.7267670981334482
R2,train,0.7239135307951245
R2,train,0.7145256091305738
R2,train,0.7273463978324883
R2,train,0.7192859013869088
R2,train,0.741035259396936
R2,train,0.725751664158262
R2,train,0.734074547550301
R2,test,0.12481756220303364
R2,test,0.2523442387020256
R2,test,0.296588796327765
R2,test,0.32712219731801573
R2,test,0.18118290451727548
R2,test,0.3303138797674693
R2,test,0.23367174544112135
R2,test,0.141416529057783
R2,test,0.37187799184563963
R2,test,0.30680033762991155
MAE,train,0.24910918878983282
MAE,train,0.23813467141087002
MAE,train,0.2504209892260828
MAE,train,0.251341870414379
MAE,train,0.2528152063866233
MAE,train,0.25092952976967986
MAE,train,0.25024588463066816
MAE,train,0.24240897909178694
MAE,train,0.24675491504459315
MAE,train,0.24537251066429067
MAE,test,0.4273648609950106
MAE,test,0.4579415956929758
MAE,test,0.3950203198212516
MAE,test,0.35251996739044494
MAE,test,0.44929265939341495
MAE,test,0.3485954054983574
MAE,test,0.44066004422618277
MAE,test,0.4675332682149999
MAE,test,0.4133692593470669
MAE,test,0.4114704579825419
