metric,dataset,value
RMSE,train,0.1485792592989545
RMSE,train,0.14556132817818632
RMSE,train,0.14452538630276812
RMSE,train,0.14339141240994543
RMSE,train,0.14523539853620657
RMSE,train,0.1482891989203781
RMSE,train,0.14571559491706457
RMSE,train,0.142394550435215
RMSE,train,0.14401516302479034
RMSE,train,0.1450526074837797
RMSE,test,0.5872474143260844
RMSE,test,0.6261324290924264
RMSE,test,0.6016082649483997
RMSE,test,0.6101662233300018
RMSE,test,0.6304897434431831
RMSE,test,0.5662205041220373
RMSE,test,0.6472025336506404
RMSE,test,0.6661471535947476
RMSE,test,0.6687786208114377
RMSE,test,0.6047836822135955
R2,train,0.9531637161357835
R2,train,0.9540662002161181
R2,train,0.9554873718807394
R2,train,0.9561648708581275
R2,train,0.9548168754769342
R2,train,0.9539158249633917
R2,train,0.9540227271893429
R2,train,0.9564651142200048
R2,train,0.9547052387758433
R2,train,0.9550310882387298
R2,test,0.1870672477046661
R2,test,0.23489693739508644
R2,test,0.1850051137533849
R2,test,0.1662782023883519
R2,test,0.14815041050808453
R2,test,0.13722324721939527
R2,test,0.18053879081874857
R2,test,0.06915392439486812
R2,test,0.17951787710876266
R2,test,0.20029966299212232
MAE,train,0.10386016471834957
MAE,train,0.10061706026717392
MAE,train,0.10151836387108311
MAE,train,0.10021988248924023
MAE,train,0.10116208093164121
MAE,train,0.10329399829648585
MAE,train,0.10088455972805571
MAE,train,0.09865251430683403
MAE,train,0.10054831770502204
MAE,train,0.10075893386201265
MAE,test,0.44820399312549336
MAE,test,0.45752002888621757
MAE,test,0.4464803615809384
MAE,test,0.44856460930736164
MAE,test,0.46759924134072073
MAE,test,0.4242501537975276
MAE,test,0.46557270752767044
MAE,test,0.4947608063085266
MAE,test,0.47826151008979517
MAE,test,0.45878216816789874
