metric,dataset,value
RMSE,train,0.29354256902683623
RMSE,train,0.2942071033676401
RMSE,train,0.2957998197812013
RMSE,train,0.30057800127465706
RMSE,train,0.3019962864268549
RMSE,train,0.3123640155636519
RMSE,train,0.30663279945204347
RMSE,train,0.29731530875311557
RMSE,train,0.3015726558398782
RMSE,train,0.3040483984684494
RMSE,test,0.5958364465318018
RMSE,test,0.6029845206595094
RMSE,test,0.528639196896696
RMSE,test,0.5724549746389195
RMSE,test,0.5675369627904445
RMSE,test,0.5056374083007548
RMSE,test,0.6153228738689013
RMSE,test,0.631160498903923
RMSE,test,0.6388899807553456
RMSE,test,0.5594013892588041
R2,train,0.8171865127400375
R2,train,0.8123508238319639
R2,train,0.8135378149955602
R2,train,0.8073848737591612
R2,train,0.8046405141082917
R2,train,0.7955181461714305
R2,train,0.7964044152246773
R2,train,0.8102048042739154
R2,train,0.8013834402365715
R2,train,0.8024182908474585
R2,test,0.16311357253620662
R2,test,0.2904224412988672
R2,test,0.3707169720473349
R2,test,0.2661496632635141
R2,test,0.30976787294991515
R2,test,0.311972742841905
R2,test,0.25927994700602863
R2,test,0.1643640016681438
R2,test,0.25121607023778925
R2,test,0.3158139256318474
MAE,train,0.20110911287839378
MAE,train,0.2032416764783493
MAE,train,0.20467845232132076
MAE,train,0.208001273565424
MAE,train,0.20825607155416131
MAE,train,0.21581864377983392
MAE,train,0.21014635629783493
MAE,train,0.20341355151071233
MAE,train,0.20780147600937499
MAE,train,0.20704753655893177
MAE,test,0.41686588317233186
MAE,test,0.40555040943815174
MAE,test,0.37049846483104876
MAE,test,0.3707157934108824
MAE,test,0.38423134627092215
MAE,test,0.32842368406900496
MAE,test,0.4140486378360234
MAE,test,0.4461299737733828
MAE,test,0.45157554254512194
MAE,test,0.3903410809470871
