metric,dataset,value
RMSE,train,0.2441783505131701
RMSE,train,0.24763375875775764
RMSE,train,0.24894626109684231
RMSE,train,0.2386909798697632
RMSE,train,0.24446337950318744
RMSE,train,0.2542993536027691
RMSE,train,0.2515953611177129
RMSE,train,0.2453454122400116
RMSE,train,0.24919432157102364
RMSE,train,0.25277033140485194
RMSE,test,0.5975089513814676
RMSE,test,0.6111316563128628
RMSE,test,0.6036518226606056
RMSE,test,0.585402973190788
RMSE,test,0.6289644710062311
RMSE,test,0.556912772000517
RMSE,test,0.6164830961718939
RMSE,test,0.6442618543072529
RMSE,test,0.6239821076844109
RMSE,test,0.6215369015023527
R2,train,0.8735029601147454
R2,train,0.8670586596300109
R2,train,0.8679293926572185
R2,train,0.8785358767059555
R2,train,0.8719855717085709
R2,train,0.8644737904845026
R2,train,0.8629318982337428
R2,train,0.8707571415582451
R2,train,0.8643849721870203
R2,train,0.8634431490437187
R2,test,0.158408720788921
R2,test,0.27111819996247966
R2,test,0.17945892075874326
R2,test,0.23257723506911554
R2,test,0.15226699157807289
R2,test,0.16535536460296352
R2,test,0.2564839835103304
R2,test,0.12931240777646857
R2,test,0.2857526567711297
R2,test,0.15538072907429124
MAE,train,0.16367358317259256
MAE,train,0.16470056086089782
MAE,train,0.1682169146071919
MAE,train,0.1613893383363562
MAE,train,0.16325433632751576
MAE,train,0.170358025317569
MAE,train,0.16750406144519367
MAE,train,0.16424659767409774
MAE,train,0.16906632605774244
MAE,train,0.1678137488555354
MAE,test,0.4399927934623858
MAE,test,0.4126839797368662
MAE,test,0.44621399266750994
MAE,test,0.4149372397112753
MAE,test,0.4474776920749438
MAE,test,0.41363674016721347
MAE,test,0.42892330804664175
MAE,test,0.4700684018348614
MAE,test,0.43168623022910346
MAE,test,0.44816128469913014
