metric,dataset,value
RMSE,train,0.3368404417606207
RMSE,train,0.3311228768486747
RMSE,train,0.34470531388456704
RMSE,train,0.34689150495134646
RMSE,train,0.34222729600100116
RMSE,train,0.3499803255818699
RMSE,train,0.33143118284765327
RMSE,train,0.3354142929238016
RMSE,train,0.3497586089638821
RMSE,train,0.3440639587374179
RMSE,test,0.5769096357403777
RMSE,test,0.568528326176649
RMSE,test,0.532304577403065
RMSE,test,0.5314211229291812
RMSE,test,0.5753646444949414
RMSE,test,0.523807261685863
RMSE,test,0.643855174677371
RMSE,test,0.575096302247436
RMSE,test,0.5894272083755767
RMSE,test,0.5674310790526872
R2,train,0.7592787066732632
R2,train,0.7623057220609724
R2,train,0.7467841330803933
R2,train,0.7434551302956913
R2,train,0.7491231487248339
R2,train,0.7433034445456645
R2,train,0.7621419395833509
R2,train,0.7584462399877203
R2,train,0.7328418915462002
R2,train,0.7469888495013834
R2,test,0.21543671582150725
R2,test,0.36919988982318264
R2,test,0.36196030715211147
R2,test,0.36758457241908626
R2,test,0.2905966919467923
R2,test,0.26163639723593624
R2,test,0.18899344652111216
R2,test,0.3062249626981316
R2,test,0.3626694760944972
R2,test,0.2960312391076241
MAE,train,0.24154640993544477
MAE,train,0.23704495879361387
MAE,train,0.24663098249375898
MAE,train,0.24916034126968659
MAE,train,0.24444706451072248
MAE,train,0.25167304904172566
MAE,train,0.2383617458824664
MAE,train,0.24043555546061915
MAE,train,0.25090928159270504
MAE,train,0.2477507174233525
MAE,test,0.4181567854455759
MAE,test,0.41443172084815516
MAE,test,0.3775624974486806
MAE,test,0.3585270498457691
MAE,test,0.39180692872268047
MAE,test,0.3629885547101937
MAE,test,0.4387287490083122
MAE,test,0.41635488757840006
MAE,test,0.4060830866299752
MAE,test,0.4075982413397518
