metric,dataset,value
RMSE,train,0.1693147787316695
RMSE,train,0.16702711914146573
RMSE,train,0.1700272222369297
RMSE,train,0.17578336483297363
RMSE,train,0.171523844132352
RMSE,train,0.17262138983061776
RMSE,train,0.16328021221951292
RMSE,train,0.17018064792399817
RMSE,train,0.16905450451520038
RMSE,train,0.17174475480196627
RMSE,test,0.6355534770183383
RMSE,test,0.6408737747354646
RMSE,test,0.5840334851163707
RMSE,test,0.5645628908312188
RMSE,test,0.5854690904573295
RMSE,test,0.5165407203308988
RMSE,test,0.6430828351865786
RMSE,test,0.6104584339299945
RMSE,test,0.6261671293053984
RMSE,test,0.5900969392748375
R2,train,0.9391786877040776
R2,train,0.9395196445631758
R2,train,0.93839274218988
R2,train,0.9341233430153002
R2,train,0.9369797239337619
R2,train,0.937551502005336
R2,train,0.9422704394026239
R2,train,0.937817093529968
R2,train,0.9375855671934743
R2,train,0.9369582497434825
R2,test,0.04782539858851975
R2,test,0.19844644362676467
R2,test,0.23192648251167525
R2,test,0.2862444687861413
R2,test,0.26546108406648694
R2,test,0.28198026991215064
R2,test,0.19093797295872428
R2,test,0.21828271408822097
R2,test,0.280741684967152
R2,test,0.23866836969352112
MAE,train,0.11605371698111326
MAE,train,0.11454786679862408
MAE,train,0.11546651040575644
MAE,train,0.11941353827489937
MAE,train,0.11793500899203717
MAE,train,0.11936586734838991
MAE,train,0.11265087187384691
MAE,train,0.11634147404881251
MAE,train,0.11500986552098588
MAE,train,0.11739209004704702
MAE,test,0.47310845485760744
MAE,test,0.4591807410481654
MAE,test,0.4189155583103501
MAE,test,0.3973409869772213
MAE,test,0.4316577115520904
MAE,test,0.3774298706983905
MAE,test,0.47337603093777053
MAE,test,0.4480881701789319
MAE,test,0.44418006031262597
MAE,test,0.44250618380733353
