metric,dataset,value
RMSE,train,0.44472378086557024
RMSE,train,0.4436290835747454
RMSE,train,0.45377564551877214
RMSE,train,0.4468534621278515
RMSE,train,0.44772960655669525
RMSE,train,0.4473980183786794
RMSE,train,0.44775246499058036
RMSE,train,0.4440532314422756
RMSE,train,0.44207687097326454
RMSE,train,0.4428462145444475
RMSE,test,0.6294149666178559
RMSE,test,0.6449061247231102
RMSE,test,0.6087901571426653
RMSE,test,0.6288046486193062
RMSE,test,0.6240758057497331
RMSE,test,0.5922483189064284
RMSE,test,0.6634630153155547
RMSE,test,0.6480332159003555
RMSE,test,0.6554595136147725
RMSE,test,0.617512833290299
R2,train,0.5803891029272412
R2,train,0.5733415278934181
R2,train,0.5611891822260798
R2,train,0.5742974423961027
R2,train,0.5705991245653326
R2,train,0.5805106960820942
R2,train,0.5658826828151335
R2,train,0.5766293558262472
R2,train,0.5731973363982883
R2,train,0.5808522193769177
R2,test,0.06612978108127254
R2,test,0.18832803074310522
R2,test,0.16543044027822107
R2,test,0.11456574883491755
R2,test,0.16539389221473066
R2,test,0.05608057451522708
R2,test,0.1388448185906599
R2,test,0.11908896005172842
R2,test,0.2118731870688476
R2,test,0.16628210264051013
MAE,train,0.3111309775874315
MAE,train,0.31068729595001504
MAE,train,0.3178951105677345
MAE,train,0.31483734906856575
MAE,train,0.3135636603351267
MAE,train,0.31167350921104664
MAE,train,0.31525469273387796
MAE,train,0.3110025795761993
MAE,train,0.3084124593677814
MAE,train,0.3101983637685629
MAE,test,0.4541911625781884
MAE,test,0.4549782009718834
MAE,test,0.44351621998639934
MAE,test,0.43273591680960777
MAE,test,0.4386402661715647
MAE,test,0.4164160578558896
MAE,test,0.4759769565046437
MAE,test,0.46181991282545476
MAE,test,0.45419272189255466
MAE,test,0.44537166340696094
