metric,dataset,value
RMSE,train,0.27390726126729636
RMSE,train,0.27730530147929605
RMSE,train,0.2724225390543079
RMSE,train,0.28625502937522457
RMSE,train,0.274744277679053
RMSE,train,0.27604536197807406
RMSE,train,0.273659945038384
RMSE,train,0.27800945080896783
RMSE,train,0.27159004090330113
RMSE,train,0.2866447873613346
RMSE,test,0.6491008369141961
RMSE,test,0.6670340701372951
RMSE,test,0.6076622681357741
RMSE,test,0.5942563273929882
RMSE,test,0.6506987103785936
RMSE,test,0.5583730930788361
RMSE,test,0.6601318002262593
RMSE,test,0.6520952763355875
RMSE,test,0.6370177973347918
RMSE,test,0.6377157282315762
R2,train,0.8408256289003493
R2,train,0.8332919012303405
R2,train,0.8418456900291003
R2,train,0.8253042833224151
R2,train,0.8383079712628472
R2,train,0.8403041285347909
R2,train,0.8378363128727584
R2,train,0.8340528525776563
R2,train,0.8389134742842007
R2,train,0.8243899386425919
R2,test,0.006799949605184374
R2,test,0.13167245274238804
R2,test,0.16851994446510676
R2,test,0.20918944073438717
R2,test,0.09266689179562015
R2,test,0.16097246217587335
R2,test,0.14747074433206053
R2,test,0.10801073520252868
R2,test,0.25559806687637265
R2,test,0.11083695204816879
MAE,train,0.19738097242668148
MAE,train,0.20174687576395417
MAE,train,0.19637525329989367
MAE,train,0.20673301698422866
MAE,train,0.19801425175767878
MAE,train,0.1989368052498559
MAE,train,0.19781089143014252
MAE,train,0.2017725075017784
MAE,train,0.19485743987950546
MAE,train,0.2055617010848912
MAE,test,0.466506050721046
MAE,test,0.4633339289009812
MAE,test,0.4291044176982215
MAE,test,0.4119487366717994
MAE,test,0.4539917545750042
MAE,test,0.3969853605895086
MAE,test,0.46817620963825723
MAE,test,0.46502636970832645
MAE,test,0.46110439655595875
MAE,test,0.4521041370175796
